token,chain,price_usd,liquidity,volume_24h,dex,price_change_1h,price_change_24h,buys_24h,sells_24h,avg_gas_usd,chain_id
ETH,ethereum,3521.0,5000000,20000000,uniswap_v3,0.12,-1.3,12400,10200,2.5,1
ETH,arbitrum,3519.5,2000000,8000000,uniswap_v3,0.1,-1.2,5200,4800,0.03,42161
ETH,polygon,3515.0,1500000,5000000,quickswap,0.08,-1.4,3100,2900,0.01,137
ETH,base,3522.0,800000,2000000,baseswap,0.15,-1.1,1800,1600,0.001,8453
ETH,cronos,3490.0,200000,500000,vvs_finance,-0.2,-2.1,420,380,0.002,25
ETH,bsc,3518.0,1000000,3000000,pancakeswap,0.09,-1.3,2800,2600,0.1,56
ETH,avalanche,3512.0,600000,1500000,trader_joe,0.07,-1.5,1100,980,0.05,43114
WBTC,ethereum,67850.0,8000000,30000000,uniswap_v3,0.05,0.8,3200,2800,2.5,1
WBTC,arbitrum,67820.0,3000000,12000000,uniswap_v3,0.04,0.7,1800,1600,0.03,42161
WBTC,polygon,67760.0,1200000,4000000,quickswap,0.02,0.6,900,800,0.01,137
WBTC,base,67870.0,500000,1500000,baseswap,0.06,0.9,600,520,0.001,8453
LINK,ethereum,14.92,2000000,8000000,uniswap_v3,0.3,2.1,4200,3800,2.5,1
LINK,arbitrum,14.88,900000,3500000,uniswap_v3,0.25,1.9,2100,1900,0.03,42161
LINK,cronos,14.62,80000,200000,vvs_finance,-0.1,1.2,220,190,0.002,25
LINK,bsc,14.85,600000,2000000,pancakeswap,0.2,1.8,1800,1600,0.1,56
